EventType	SubTypeCol	SubTypeVal	FieldsAssociated	TemplateString
change hf state	state	settled		#hfid_string# settled  #site_id_string# #reason_string# #mood_string#
change hf state	state	wandering		#hfid_string# wandered #reason_string#
change hf state	state	visiting		#hfid_string# visited #adjective# #site_id_string# for #reason_string#
change hf state	state	refugee	"id,subregion_id,feature_layer_id,state,reason,hfid,coords,site_id,mood,year,seconds72,state"	#hfid_string# was a refugee #reason_string#
add hf entity link			"id,civ_id,year,seconds72"	
created site			"id,site_civ_id,site_id,civ_id,year,builder_hfid"	#builder_hfid_string# created #site_id_string# in #civ_id_string#
created structure			"id,structure_id,site_civ_id,site_id,civ_id,year,builder_hfid"	#builder_hfid_string# created #structure_id_string# in #adjective# #site_id_string# in #civ_id_string#
add hf site link			"id,site_id,year,seconds72"	
artifact created			"id,artifact_id,hist_figure_id,site_id,year,seconds72"	#hist_figure_id_string# created artifact #artifact_id_string# #site_id_string#
agreement formed			"agreement_id,id"	#agreement_id_string# was signed
artifact stored			"id,artifact_id,hist_figure_id,site_id,year,seconds72"	#artifact_id_string# was stored by #hist_figure_id_string# #site_id_string#
add hf hf link			"hfid_target,id,hfid,year,seconds72"	A relationship began between #hfid_string# and #adjective# #hfid_target_string#
change hf job			"id,subregion_id,hfid,site_id,year,seconds72"	#hfid_string# changed jobs #site_id_string#
hf simple battle event			"group_2_hfid,id,group_1_hfid,subregion_id,subtype,site_id,year,seconds72"	A battle with subtype '#subtype_string#' occurred between #group_1_hfid_string# and #group_2_hfid_string# #site_id_string#
hf abducted			"id,snatcher_hfid,site_id,year,target_hfid,seconds72"	#snatcher_hfid_string# abducted #target_hfid_string#  #site_id_string#
hf travel			"group_hfid,id,subregion_id,feature_layer_id,coords,site_id,year,seconds72"	#group_hfid_string# travelled #site_id_string#
hf new pet			"group_hfid,id,subregion_id,feature_layer_id,year,seconds72"	#group_hfid_string# got a new pet
ceremony			"id,schedule_id,occasion_id,site_id,civ_id,year,seconds72"	There was a ceremony #site_id_string# for #occasion_id_string#
procession			"id,schedule_id,occasion_id,site_id,civ_id,year,seconds72"	There was a procession  #site_id_string# for #occasion_id_string#
hf died	cause	struck	"id,slayer_caste,subregion_id,cause,hfid,slayer_hf_id,site_id,year,slayer_race,seconds72"	#hfid_string# was killed by #slayer_hfid_string# (#slayer_race_string#)  #site_id_string# #cause_string#
hf died	cause	old age		#hfid_string# died peacefully of old age #site_id_string#
hf died	cause	murdered		#hfid_string# was foully murdered by #slayer_hfid_string# (#slayer_race_string#)  #site_id_string# 
hf died	cause	suicide leaping		#hfid_string# committed suicide by leaping off a cliff #site_id_string#
hf died	cause	suicide drowned		#hfid_string# committed suicide by drowning #heroSelf# #site_id_string#
hf died	cause	shot		#slayer_hfid_string# #slayer_race_string# shot and killed #hfid_string# #site_id_string# 
hf died	cause	exec beheaded		#hfid_string# was beheaded  #site_id_string#
performance			"id,schedule_id,occasion_id,site_id,civ_id,year,seconds72"	There was a performance #site_id_string# for #occasion_id_string#
competition			"id,schedule_id,occasion_id,competitor_hfid,winner_hfid,site_id,civ_id,year,seconds72"	"In a competition #site_id_string#, #competitor_hfid_string# competed and #winner_hfid_string# won"
creature devoured			"id,site_id,year,seconds72"	A creature devoured #site_id_string#
item stolen			"circumstance,id,circumstance_id,year,seconds72"	An item was stolen because of #circumstance_string#
create entity position			"id,year,seconds72"	
field battle			"id,subregion_id,defender_civ_id,coords,attacker_general_hfid,year,attacker_civ_id,defender_general_hfid,seconds72"	#attacker_civ_id_string# under general #attacker_general_hfid_string# battled #defender_civ_id_string# under general #defender_general_hfid_string# #site_id_string#
entity created			"id,structure_id,entity_id,site_id,year,seconds72"	#entity_id_string# was created at #adjecive# #site_id_string# in #structure_id_string#
entity primary criminals			"id,entity_id,site_id,year"	
peace accepted			"id,year,seconds72"	Peace was accepted
hf wounded			"id,subregion_id,wounder_hfid,site_id,year,woundee_hfid,seconds72"	#woundee_hfid_string# was wounded by #wounder_hfid_string#  #site_id_string#
attacked site			"id,defender_civ_id,attacker_general_hfid,year,site_id,site_civ_id,attacker_civ_id,defender_general_hfid,seconds72"	#attacker_civ_id_string# under general #attacker_general_hfid_string# attacked #defender_civ_id_string# under general #defender_general_hfid_string#  #site_id_string#
